date,V_t,E_t,D_t,R_t
2020-01-01,217,1942,0.08286396996074415,0.8367662203913491
2020-01-02,221,2077,0.08543809132044426,0.8391911410688493
2020-01-04,223,2138,0.08637336888457964,0.8227315247895229
2020-01-06,222,2076,0.08462761403937874,0.8458574181117534
2020-01-07,222,2057,0.08385308385308385,0.8322800194457949
2020-01-08,220,2030,0.08426733084267331,0.8359605911330049
2020-01-09,221,2062,0.08482106129164953,0.8297769156159069
2020-01-10,225,2094,0.0830952380952381,0.8452722063037249
2020-01-11,222,2087,0.08507602625249684,0.8222328701485385
2020-01-12,218,2098,0.08869910793556843,0.8265014299332698
2020-01-13,222,2047,0.08344543638661285,0.8505129457743038
2020-01-14,223,2011,0.0812426776552337,0.8314271506713078
2020-01-15,221,2024,0.0832579185520362,0.8285573122529645
2020-01-16,219,2069,0.08667420719701731,0.8274528757854036
2020-01-17,223,2084,0.08419181513351917,0.8387715930902111
2020-01-18,218,2086,0.08819177271382066,0.8231064237775647
2020-01-19,217,2087,0.0890510325994197,0.8337326305701964
2020-01-20,222,2050,0.08356773062655416,0.844390243902439
2020-01-21,224,2014,0.08063741191543883,0.8282025819265144
2020-01-22,220,2002,0.08310502283105023,0.8326673326673326
2020-01-23,221,2026,0.08334018922254216,0.824284304047384
2020-01-24,220,2069,0.0858862598588626,0.8376027066215563
2020-01-25,220,2055,0.08530510585305107,0.8272506082725061
2020-01-26,217,2084,0.08892302440689538,0.831573896353167
2020-01-27,221,2016,0.08292883587001233,0.8452380952380952
2020-01-28,223,1976,0.07982870763139822,0.8289473684210527
2020-01-29,220,1968,0.08169364881693648,0.834349593495935
2020-01-30,221,2024,0.0832579185520362,0.8285573122529645
2020-02-01,220,2057,0.08538812785388128,0.8293631502187652
2020-02-02,216,2065,0.08893195521102498,0.8314769975786925
2020-02-03,221,2004,0.08243521184697655,0.8483033932135728
2020-02-04,222,1992,0.08120337532102238,0.8237951807228916
2020-02-05,219,1951,0.08173097063382347,0.8303434136340339
2020-02-06,218,2004,0.08472498203187756,0.8233532934131736
2020-02-07,220,2035,0.08447488584474885,0.8383292383292383
2020-02-08,219,2036,0.08529177663273427,0.831532416502947
2020-02-09,217,2027,0.08649086874893326,0.8332511100148002
2020-02-10,218,1977,0.08358347778294509,0.8517956499747091
2020-02-11,222,1960,0.0798989034283152,0.8270408163265306
2020-02-12,217,1944,0.08294930875576036,0.831275720164609
2020-02-13,220,1987,0.08248235782482358,0.8309008555611475
2020-02-14,221,2041,0.0839572192513369,0.8324350808427241
2020-02-15,219,2046,0.08571069498554731,0.8250244379276638
2020-02-16,216,2035,0.08763996554694228,0.826044226044226
2020-02-17,221,1987,0.08173591114767585,0.8454957221942627
2020-02-18,223,1970,0.07958631277016927,0.8228426395939086
2020-02-19,217,1942,0.08286396996074415,0.8316168898043255
2020-02-21,220,2036,0.08451639684516396,0.8388998035363457
2020-02-22,219,2067,0.0865904235264547,0.8180938558297048
2020-02-23,215,2046,0.08893718756792002,0.8196480938416423
2020-02-24,220,1991,0.08264840182648403,0.8372677046710196
2020-02-25,222,1977,0.08059190412131588,0.8153768335862418
2020-02-26,218,1944,0.08218830592313872,0.8281893004115226
2020-02-27,219,1992,0.08344853588035693,0.820281124497992
2020-02-28,220,2042,0.08476546284765463,0.8290891283055828
2020-02-29,220,2046,0.08493150684931508,0.8137829912023461
2020-03-01,215,2025,0.08802434253423169,0.8311111111111111
2020-03-02,221,1982,0.08153023447141095,0.8385469223007064
2020-03-03,223,1962,0.07926311962186401,0.8200815494393476
2020-03-04,217,1939,0.08273596176821983,0.8205260443527591
2020-03-05,220,1971,0.08181818181818182,0.823947234906139
2020-03-06,220,2019,0.08381070983810711,0.8301139177810798
2020-03-07,222,2009,0.08189637601402308,0.8282727725236436
2020-03-08,214,1994,0.08749067614409196,0.8204613841524574
2020-03-09,222,1931,0.0787167257755493,0.8399792853443812
2020-03-10,222,1901,0.07749378337613633,0.8253550762756444
2020-03-11,220,1851,0.07683686176836863,0.8254997298757428
2020-03-12,222,1895,0.07724919489625372,0.8116094986807388
2020-03-13,219,1913,0.08013908089313392,0.8112911657083115
2020-03-14,218,1876,0.07931340633323468,0.802771855010661
2020-03-15,216,1829,0.07876830318690785,0.8004373974849645
2020-03-16,216,1675,0.07213608957795005,0.8053731343283582
2020-03-17,214,1493,0.06550831468562152,0.7561955793703952
2020-03-18,208,1345,0.062476774433296176,0.7762081784386617
2020-03-19,203,1265,0.061698288055406524,0.7810276679841898
2020-03-20,200,1215,0.06105527638190955,0.7547325102880659
2020-03-21,202,1140,0.056154869218265104,0.7517543859649123
2020-03-22,180,1029,0.0638733705772812,0.7346938775510204
2020-03-23,174,901,0.059863132017806124,0.7280799112097669
2020-03-24,161,780,0.06055900621118012,0.6858974358974359
2020-03-25,163,720,0.054533060668029994,0.6666666666666666
2020-03-26,164,663,0.04960347149483765,0.6666666666666666
2020-03-27,155,699,0.05856723921240051,0.6738197424892703
2020-03-28,148,606,0.055708769994484285,0.665016501650165
2020-03-29,137,555,0.059574924860455125,0.6684684684684684
2020-03-30,137,518,0.05560326320309145,0.640926640926641
2020-03-31,141,476,0.04822695035460993,0.6134453781512605
2020-04-01,137,489,0.05249033920137398,0.6012269938650306
2020-04-02,138,474,0.05014281180577595,0.6033755274261603
2020-04-03,134,496,0.05566154191448771,0.6310483870967742
2020-04-04,136,451,0.0491285403050109,0.5543237250554324
2020-04-05,120,409,0.057282913165266104,0.6601466992665037
2020-04-06,126,427,0.05422222222222222,0.5714285714285714
2020-04-07,132,424,0.04904001850566736,0.5448113207547169
2020-04-08,140,450,0.046248715313463515,0.5711111111111111
2020-04-09,130,419,0.04997018485390579,0.5656324582338902
2020-04-10,135,441,0.04875621890547264,0.5895691609977324
2020-04-13,121,388,0.0534435261707989,0.6005154639175257
2020-04-14,133,399,0.045454545454545456,0.5488721804511278
2020-04-15,136,414,0.045098039215686274,0.5990338164251208
2020-04-16,128,410,0.05044291338582677,0.5902439024390244
2020-04-17,133,443,0.05046707678286626,0.5914221218961625
2020-04-18,130,420,0.05008944543828265,0.5642857142857143
2020-04-19,118,407,0.05895987251919456,0.5823095823095823
2020-04-20,137,436,0.04680120223271791,0.5756880733944955
2020-04-21,140,416,0.042754367934224054,0.5144230769230769
2020-04-22,136,422,0.04596949891067538,0.6018957345971564
2020-04-23,142,445,0.04445110378583558,0.5775280898876405
2020-04-24,143,480,0.04727666699497685,0.5979166666666667
2020-04-25,128,440,0.054133858267716536,0.5409090909090909
2020-04-26,118,441,0.06388526727509777,0.5804988662131519
2020-04-27,133,421,0.04796081111870586,0.5676959619952494
2020-04-28,138,443,0.04686342959906908,0.54627539503386
2020-04-29,141,457,0.04630192502532928,0.5733041575492341
2020-04-30,143,467,0.0459962572638629,0.5974304068522484
2020-05-01,154,494,0.04193192428486546,0.6093117408906883
2020-05-02,137,481,0.05163160154572778,0.6091476091476091
2020-05-03,123,474,0.06317473010795681,0.5907172995780591
2020-05-04,135,459,0.050746268656716415,0.579520697167756
2020-05-05,141,451,0.04569402228976697,0.532150776053215
2020-05-06,137,464,0.0498067840274796,0.6012931034482759
2020-05-07,144,476,0.04623154623154623,0.5609243697478992
2020-05-08,142,511,0.05104385176306063,0.589041095890411
2020-05-09,119,457,0.06509044295684376,0.6039387308533917
