countryName,countryCode,airportName,airportCode,cityName,latitude,longitude
UAE,ARE,Sir Bu Na'ir,OMSN,Sir Bu Na'ir,25.218055555555555,54.23166666666667
UAE,ARE,Falej Hazza,OMZA,Falej Hazza,24.189833333333333,55.7165
Argentina,ARG,Comodoro Pierrestegui,SAAC,Concordia,-31.296944444444446,-57.99666666666667
Argentina,ARG,Gualeguaychu,SAAG,Gualeguaychu,-33.00555555555555,-58.61277777777778
Argentina,ARG,Punta Indio Ns,SAAI,Punta Indio,-35.35333333333333,-57.29
Argentina,ARG,Pergamino,SAAN,Pergamino,-33.92027777777778,-60.64805555555556
Argentina,ARG,Gen Urquiza,SAAP,Parana,-31.79361111111111,-60.48111111111111
Argentina,ARG,Islas Malvinas,SAAR,Rosario,-32.90361111111111,-60.78444444444444
Argentina,ARG,Sauce Viejo,SAAV,Santa Fe,-31.710841666666667,-60.81126666666666
Argentina,ARG,Jorge Newbery Aeroparque,SABE,Buenos Aires,-34.55888888888889,-58.41638888888889
Argentina,ARG,Capitan D. Omar Dario Gellardi,SACA,Cordoba,-31.436666666666667,-64.2575
Argentina,ARG,La Cumbre,SACC,La Cumbre,-31.005,-64.53277777777778
Argentina,ARG,Coronel Olmedo,SACD,Coronel Olmedo,-31.48777777777778,-64.14194444444445
Argentina,ARG,Ing Aer A L V Taravella,SACO,Cordoba,-31.310000000000002,-64.20833333333334
Argentina,ARG,Chamical,SACT,Gobernador Gordillo,-30.339444444444442,-66.29416666666667
Argentina,ARG,San Fernando Intl,SADF,San Fernando,-34.455000000000005,-58.59138888888889
Argentina,ARG,Mariano Moreno,SADJ,Mariano Moreno,-34.5625,-58.79083333333333
Argentina,ARG,La Plata,SADL,La Plata,-34.967222222222226,-57.89472222222222
Argentina,ARG,Moron,SADM,Moron,-34.67916666666667,-58.64361111111111
Argentina,ARG,El Palomar,SADP,Buenos Aires,-34.61,-58.612500000000004
Argentina,ARG,Quilmes,SADQ,Quilmes,-34.71138888888889,-58.23916666666667
Argentina,ARG,Merlo,SADR,Merlo,-34.67638888888889,-58.74388888888889
Argentina,ARG,Matanza,SADZ,Matanza,-34.733333333333334,-58.5
Argentina,ARG,Miramar,SAEM,Miramar,-38.226111111111116,-57.87083333333334
Argentina,ARG,Ezeiza Intl Ministro Pistarini,SAEZ,Buenos Aires,-34.82222222222222,-58.53583333333333
Argentina,ARG,Rafaela,SAFR,Rafaela,-31.2825,-61.501666666666665
Argentina,ARG,Sunchales Aeroclub,SAFS,Sunchales,-30.95722222222222,-61.528888888888886
Argentina,ARG,Chos Malal,SAHC,Chos Malal,-37.44416666666666,-70.22305555555556
Argentina,ARG,General Roca,SAHR,General Roca,-38.983333333333334,-67.6
Argentina,ARG,Zapala,SAHZ,Zapala,-38.975833333333334,-70.11333333333333
Argentina,ARG,General Alvear,SAMA,General Alvear,-35.05916666666666,-67.69277777777778
Argentina,ARG,El Plumerillo,SAME,Mendoza,-32.83166666666667,-68.79277777777777
Argentina,ARG,Com Ricardo Salomon,SAMM,Malargue,-35.49527777777778,-69.57305555555556
Argentina,ARG,La Paz,SAMP,La Paz,-30.783333333333335,-59.6
Argentina,ARG,S.A. Santiago Germano,SAMR,San Rafael,-34.58781666666667,-68.40358888888889
Argentina,ARG,Catamarca,SANC,Catamarca,-28.593108333333333,-65.75118055555555
Argentina,ARG,Vcom Angel D. La Paz Aragonez,SANE,Santiago Del Estero,-27.765555555555554,-64.31
Argentina,ARG,Tinogasta,SANI,Tinogasta,-28.035,-67.58027777777778
Argentina,ARG,Cap Vicente A Almonacid,SANL,La Rioja,-29.380555555555556,-66.79583333333333
Argentina,ARG,Brig. Juan Fancudo Quiroga,SANO,Chilecito,-29.223333333333333,-67.43944444444445
Argentina,ARG,Termas de Rio Hondo,SANR,Termas de Rio Hondo,-27.496666666666666,-64.93583333333333
Argentina,ARG,Benjamin Matienzo,SANT,Tucuman,-26.840833333333332,-65.10472222222222
Argentina,ARG,Domingo Faustino Sarmiento,SANU,San Juan,-31.57138888888889,-68.41833333333334
Argentina,ARG,Ceres,SANW,Ceres,-29.863055555555558,-61.87277777777778
Argentina,ARG,Area De Material,SAOC,Rio Cuarto,-33.092222222222226,-64.26944444444445
Argentina,ARG,Villa Dolores,SAOD,Villa Dolores,-31.947222222222223,-65.14694444444446
Argentina,ARG,Laboulaye,SAOL,Laboulaye,-34.13527777777778,-63.36222222222222
Argentina,ARG,Marcos Juarez,SAOM,Marcos Juarez,-32.69444444444444,-62.15277777777778
Argentina,ARG,Villa Reynolds,SAOR,Villa Reynolds,-33.725,-65.37805555555555
Argentina,ARG,Sta. Rosa de Conlara,SAOS,Valle del Conlara,-32.38444444444444,-65.18583333333333
Argentina,ARG,Brig. Mayor D. Cesar Raul Ojeda,SAOU,San Luis,-33.27222222222222,-66.35666666666665
Argentina,ARG,Corrientes,SARC,Corrientes,-27.445555555555554,-58.761944444444445
Argentina,ARG,Resistencia,SARE,Resistencia,-27.45,-59.05611111111111
Argentina,ARG,Formosa,SARF,Formosa,-26.212777777777777,-58.22805555555556
Argentina,ARG,Mayor D Carlos Eduardo Krause,SARI,Cataratas Del Iguazu,-25.737222222222222,-54.473333333333336
Argentina,ARG,Paso De Los Libres,SARL,Paso De Los Libres,-29.688055555555557,-57.15222222222222
Argentina,ARG,Monte Caseros,SARM,Monte Caseros,-30.27027777777778,-57.63944444444444
Argentina,ARG,Liberador Gral D Jose De San M,SARP,Posadas,-27.385833333333334,-55.970555555555556
Argentina,ARG,Presidencia Roque S. Pena,SARS,Presidencia Roque S. Pena,-26.753611111111113,-60.492222222222225
Argentina,ARG,Gen. Don Martin Miguel de Guemes,SASA,Salta,-24.859722222222224,-65.48694444444445
Argentina,ARG,Gobernador Horacio Guzman,SASJ,Jujuy,-24.392777777777777,-65.09777777777778
Argentina,ARG,Oran,SASO,Oran,-23.15222222222222,-64.3286111111111
Argentina,ARG,Clorinda,SATC,Clorinda,-25.3,-57.733333333333334
Argentina,ARG,Eldorado,SATD,Eldorado,-26.396944444444443,-54.57472222222223
Argentina,ARG,Goya,SATG,Goya,-29.105833333333333,-59.21888888888889
Argentina,ARG,Obera,SATO,Obera,-27.52138888888889,-55.121944444444445
Argentina,ARG,Reconquista,SATR,Reconquista,-29.210277777777776,-59.68
Argentina,ARG,Curuzu Cuatia,SATU,Curuzu Cuatia,-29.772499999999997,-57.98277777777778
Argentina,ARG,El Bolson,SAVB,El Bolson,-41.96638888888889,-71.51777777777778
Argentina,ARG,Gen Enrique Mosconi,SAVC,Comodoro Rivadavia,-45.78527777777778,-67.46555555555555
Argentina,ARG,El Maiten,SAVD,El Maiten,-42.03333333333333,-71.15
Argentina,ARG,Brig. Gral. Antonio Parodi,SAVE,Esquel,-42.903888888888886,-71.13555555555556
Argentina,ARG,Antoine De Saint Exupery,SAVN,San Antonio Oeste,-40.75055555555556,-65.03527777777778
Argentina,ARG,Maquinchao,SAVQ,Maquinchao,-41.2425,-68.70777777777778
Argentina,ARG,D.Casimiro Szlapelis,SAVR,Alto Rio Senguerr,-45.01305555555555,-70.81277777777777
Argentina,ARG,Sierra Grande,SAVS,Sierra Grande,-41.591944444444444,-65.34944444444444
Argentina,ARG,Almirante Zar,SAVT,Trelew,-43.21055555555556,-65.27027777777778
Argentina,ARG,Gobernador Castello,SAVV,Viedma,-40.87027777777778,-62.99666666666667
Argentina,ARG,El Tehuelche,SAVY,Puerto Madryn,-42.759166666666665,-65.10277777777777
Argentina,ARG,El Calafate,SAWC,El Calafate,-50.280277777777776,-72.05333333333333
Argentina,ARG,Puerto Deseado,SAWD,Puerto Deseado,-47.734722222222224,-65.90333333333334
Argentina,ARG,Rio Grande,SAWE,Rio Grande,-53.777499999999996,-67.75
Argentina,ARG,Norberto Fernandez,SAWG,Rio Gallegos,-51.60888888888889,-69.31277777777777
Argentina,ARG,Malvinas Argentinas,SAWH,Ushuaia,-54.843333333333334,-68.29555555555555
Argentina,ARG,Cap. D. Jose D. Vasquez,SAWJ,San Julian,-49.306666666666665,-67.80277777777778
Argentina,ARG,Rio Mayo,SAWM,Rio Mayo,-45.70388888888889,-70.24444444444444
Argentina,ARG,Perito Moreno,SAWP,Perito Moreno,-46.53777777777778,-70.97805555555556
Argentina,ARG,Gobernador Gregores,SAWR,Gobernador Gregores,-48.78333333333333,-70.16222222222223
Argentina,ARG,Jose De San Martin,SAWS,Jose De San Martin,-44.04722222222222,-70.44638888888889
Argentina,ARG,28 De Noviembre,SAWT,El Turbio,-51.60916666666667,-72.22166666666666
Argentina,ARG,Santa Cruz,SAWU,Santa Cruz,-50.01777777777777,-68.58027777777778
Argentina,ARG,Azul,SAZA,Azul,-36.83638888888889,-59.88027777777778
Argentina,ARG,Comandante Espora,SAZB,Bahia Blanca,-38.72723611111111,-62.153375
Argentina,ARG,Brig D Hector Eduardo Ruiz,SAZC,Coronel Suarez,-37.44611111111111,-61.88916666666667
Argentina,ARG,Pigue,SAZE,Pigue,-37.60611111111111,-62.39861111111111
Argentina,ARG,Olavarria,SAZF,Olavarria,-36.888888888888886,-60.22777777777778
